Coder_ID,Pair_type,Word_ID,Pair_ID,Word,POS,Note,I_Feel,They_Feel,They_Feel_Q1,They_Feel_Q2,It_Feels,It_Feels_Q1,It_Feels_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Add_Row,Distinctiveness,Relatedness,I_Am,I_Am_Q1,I_Am_Q2,Meaning_label
1,verb-adj,,619,fire up,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1115,619,fired up,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,,619,ignore,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1133,619,ignored,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,,653,involve,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1150,653,involved,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,,667,know,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1164,667,knowing,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,yes,no,no,,,,acceptable,yes,no,1
1,verb-adj,,672,liberate,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1169,672,liberated,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,,705,overwhelm,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1202,705,overwhelmed,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,1203,705,overwhelming,adjective,overwhelmed could work instead,unacceptable,unacceptable,no,no,acceptable,yes,yes,no,no,no,no,,,,acceptable,yes,no,1
1,verb-adj,,707,perplex,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1204,707,perplexing,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,verb-adj,,736,want,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1233,736,wanted,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,verb-adj,1234,736,wanting,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,unsure,,no,no,acceptable,yes,no,1
1,verb-adj,,744,yearn,verb,,,,,,,,,,,,,,,,,,,
1,verb-adj,1241,744,yearning,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,79,35,terror,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,80,35,terrified,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,81,35,terrifying,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,82,36,thought,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,83,36,thoughtful,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,yes,no,no,,,,acceptable,yes,no,1
1,noun-adj,84,37,trap,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,85,37,trapped,adjective,in a situation that's hard to get out of,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,85,37,trapped,adjective,physically restrained,acceptable,acceptable,yes,yes,unacceptable,no,no,yes,no,no,yes,,yes,yes,acceptable,no,yes,2
1,noun-adj,86,38,trust,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,87,38,trusted,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,88,38,trusting,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,yes,1
1,noun-adj,89,39,care,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,90,39,cared,adjective,"""I am cared for"" or ""I am cared about"" is acceptable",unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,91,39,caring,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,92,39,carefree,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,93,39,careful,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,no,,,,acceptable,yes,no,1
1,noun-adj,94,39,uncaring,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,95,40,upsetness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,96,40,upset,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,10001,40,upsetting,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,97,41,abashment,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,98,41,abashed,adjective,not familiar ,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,99,42,absurdity,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,100,42,absurd,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,101,43,absorption,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,102,43,absorbed,adjective,strongly concentrated on,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,yes,yes,,yes,yes,acceptable,no,yes,1
1,noun-adj,102,43,absorbed,adjective,"physically, i.e. liquid absorbed in cloth",unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,yes,,yes,yes,unacceptable,no,yes,2
1,noun-adj,103,43,absorbing,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,no,no,no,,,,unacceptable,yes,no,1
1,noun-adj,104,44,abhorrence,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,105,44,abhorrent,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,106,45,abruptness,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,107,45,abrupt,adjective,,unacceptable,unacceptable,no,no,acceptable,no,yes,no,no,no,no,,,,unacceptable,no,no,1
1,noun-adj,108,46,acceptance,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,109,46,accepted,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,no,yes,1
1,noun-adj,110,46,accepting,adjective,,unacceptable,acceptable,no,yes,unacceptable,no,no,no,no,no,no,,,,acceptable,yes,no,1
1,noun-adj,111,47,accusation,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,112,47,accused,adjective,,acceptable,acceptable,yes,yes,unacceptable,no,no,no,yes,yes,no,,,,acceptable,no,yes,1
1,noun-adj,113,47,accusing,adjective,,unacceptable,unacceptable,no,no,unacceptable,no,no,no,yes,yes,no,,,,unacceptable,yes,no,1
1,noun-adj,114,48,admiration,noun,,,,,,,,,,,,,,,,,,,
1,noun-adj,115,48,admired,adjective,,acceptable,acceptable,yes,yes,acceptable,no,yes,no,no,no,no,,,,acceptable,no,yes,1
