Korean_Word,Note,POS,English_Word,Translational_Equivalence,Korean_Source1,Korean_Source2,English_Source1,English_Source2
엉큼하다,,adjective,sneaky,1,,,Baron-Cohen_2010,
악의적인,,adjective,spiteful,1,,,Baron-Cohen_2010,
거뜬하다,,adjective,refreshed,1,Park_Min_2005,,,
거뜬하다,,adjective,easy,1,,,,
온정적인,,adjective,compassionate,1,,,,
가련하다,,adjective,piteous,1,Park_Min_2005,,,
연민하는,,adjective,piteous,1,,,,
불쌍하다,,adjective,pitiful,1,Park_Min_2005,,,
불쌍하다,,adjective,piteous,1,Park_Min_2005,,,
가엾다,,adjective,piteous,1,Park_Min_2005,,,
가엾다,,adjective,pitiful,1,Park_Min_2005,,,
딱하다,,adjective,piteous,1,Park_Min_2005,,,
딱하다,,adjective,pitiful,1,Park_Min_2005,,,
안쓰럽다,(1) Feeling uneasy and sorry about getting help from and imposing on someone who is younger or weaker. (2) Feeling bad because someone's situation or circumstances are pitiful.,adjective,,0,Park_Min_2005,,,
안쓰럽다,,adjective,piteous,1,Park_Min_2005,,,
측은하다,,adjective,pitiful,1,Park_Min_2005,,,
측은하다,,adjective,piteous,1,Park_Min_2005,,,
동정하는,,adjective,sympathetic,1,,,,
비련의,,adjective,suffering,1,,,,
비련의,,adjective,tragic,1,,,,
비참하다,,adjective,dismal,1,Park_Min_2005,,,
비참하다,,adjective,miserable,1,Park_Min_2005,,,
한심하다,,adjective,pitiful,1,Rhee_Ko_2013,,,
한심하다,,adjective,pathetic,1,Rhee_Ko_2013,,,
애잔하다,,adjective,pitiful,1,Park_Min_2005,,,
애잔하다,,adjective,pathetic,1,Park_Min_2005,,,
애처롭다,,adjective,pathetic,1,Park_Min_2005,,,
애처롭다,,adjective,pitiful,1,Park_Min_2005,,,
가소롭다,,adjective,laughable,1,Park_Min_2005,,,
가소롭다,,adjective,absurd,1,Park_Min_2005,,,
가소롭다,,adjective,ridiculous,1,Park_Min_2005,,,
가증스럽다,,adjective,despicable,1,Park_Min_2005,,,
가증스럽다,,adjective,contemptable,1,Park_Min_2005,,,
가증스럽다,,adjective,detestable,1,Park_Min_2005,,,
갈등하는,,adjective,conflicting,1,,,,
감개무량하다,,adjective,emotional,1,Park_Min_2005,,,
감상적인,,adjective,sentimental,1,,,,
감동한,,adjective,touched,1,,,,
감동한,,adjective,affected,1,,,,
감동한,,adjective,moved,1,,,,
감동하다,,verb,be touched,1,Park_Min_2005,,,
감동하다,,verb,be moved,1,Park_Min_2005,,,
뭉클하다,,adjective,touching,1,Park_Min_2005,,,
