Coder_ID,Pair_Type,Word_ID,Pair_ID,Korean_Word,POS,Note,I_Feel,I_Feel_Wordform,They_Feel,They_Feel_Wordform,They_Feel_Q1,They_Feel_Q2,It_Feels,It_Feels_Wordform,It_Feels_Q1,It_Feels_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Unnamed: 21,Distinctiveness,Relatedness,I_Am,I_Am_Wordform,causing,caused,Meaning_label
1,noun-adj,1,1,가련,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,2,1,가련하다,adjective,"In ""I am"" part, I am 가련하다 makes sense when ""가련"" is considered as state.(it make sense, but it sound awkward. Also feel little cringe) But most of the time 가련 is evaluation for other people's state or what I feel by looking at someone 가련",acceptable,가련하다고,acceptable,가련하다고,no,no,unacceptable,가련하다고,no,no,no,no,no,no,,,,unacceptable,가련하다,yes,no,1
1,noun-adj,3,2,가소로움,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,4,2,가소롭다,adjective,,acceptable,가소롭다고,acceptable,가소롭다고,no,no,unacceptable,가소롭다고,no,no,no,no,no,no,,,,unacceptable,가소롭다,yes,no,1
1,no-pair,5,3,가슴 시린,adjective,,acceptable,가슴시린다고,acceptable,가슴시린다고,yes,no,unacceptable,가슴시린다고,no,no,no,no,no,no,,,,acceptable,가슴시린다,no,yes,1
1,noun-adj,6,4,가여움,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,7,4,가엾다,adjective,,acceptable,가엾다고,acceptable,가엾다고,no,no,unacceptable,가엾다고,no,no,no,no,no,no,,,,not sure,가엾다,yes,no,1
1,noun-adj,8,5,가증스러움,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,9,5,가증스럽다,adjective,,acceptable,가증스럽다고,acceptable,가증스럽다고,no,no,unacceptable,가증스럽다고,no,no,no,no,no,no,,,,unacceptable,가증스럽다,yes,no,1
1,no-pair,12,8,각별하다,adjective,,acceptable,각별하다고,acceptable,각별하다고,no,no,unacceptable,각별하다고,no,no,no,no,no,no,,,,acceptable,각별하다,no,no,1
1,noun-adj,14,10,간절하다,adjective,"In H part, ""나는 간절하다고 느낀다"" feels a little awkward. 나는 간절하다 makes more sense. But still acceptable ",acceptable,간절하다고,not sure,간절하다고,yes,no,unacceptable,간절하다고,no,no,no,no,no,no,,,,acceptable,간절하다,no,yes,1
1,noun-adj,15,10,간절함,noun,,,,,,,,,,,,,,,,,,,,,,,
1,no-pair,17,12,갇힌,adjective,,acceptable,갇혔다고,acceptable,갇혔다고,no,no,unacceptable,갇혔다고,no,no,yes,no,no,no,,,,acceptable,갇혔다,no,no,1
1,noun-adj,18,13,갈등하는,adjective,Same as 간절하다,acceptable,갈등한다고,not sure,갈등한다고,yes,no,unacceptable,갈등한다고,no,no,no,no,no,yes,,yes,yes,acceptable,갈등한다,no,yes,1
1,noun-adj,18,13,갈등하는,adjective,갈등 also means conflict between people,not sure,갈등한다고,not sure,갈등한다고,no,no,unacceptable,갈등한다고,no,no,no,no,no,yes,,yes,yes,unacceptable,갈등한다,no,no,2
1,noun-adj,19,13,갈등,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,20,14,갈망,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,21,14,갈망하는,adjective,Same as 간절하다,acceptable,갈망한다고,not sure,갈망한다고,yes,no,unacceptable,갈망한다고,no,no,no,no,no,no,,,,acceptable,갈망한다,no,yes,1
1,no-pair,23,15,감개무량하다,adjective,,acceptable,감개무량하다고,acceptable,감개무량하다고,yes,no,unacceptable,감개무량하다고,no,no,no,no,no,no,,,,acceptable,감개무량하다,no,yes,1
1,noun-adj,24,16,감동,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,25,16,감동한,adjective,"Same manner as 간절하다, but it feels like 나는 감동한다고 느낀다 sounds too awkward. I think it is because word ""감동"" contains meaning of feeling and emotion. I think we need debate on this. 감동했다고 느낀다 makes more sense.",unacceptable,감동한다고,unacceptable,감동한다고,yes,no,unacceptable,감동한다고,no,no,no,no,no,no,,,,acceptable,감동한다 or 감동했다,no,yes,1
1,noun-adj,26,17,감명,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,27,17,감명받다,adjective,,acceptable,감명받았다고,acceptable,감명받았다고,yes,no,unacceptable,감명받았다고,no,no,no,no,no,no,,,,acceptable,감명받았다,no,yes,1
1,noun-adj,28,18,감미로움,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,29,18,감미롭다,adjective,,acceptable,감미롭다고,acceptable,감미롭다고,yes,no,unacceptable,감미롭다고,no,no,no,no,no,no,,,,unacceptable,감미롭다,yes,no,1
1,noun-adj,30,19,감복,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,31,19,감복하는,adjective,Same as 감동한.,not sure,감복한다고,not sure,감복한다고,yes,no,unacceptable,감복한다고,no,no,no,no,no,no,,,,acceptable,감복한다,no,yes,1
1,noun-adj,33,20,감사,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,34,20,감사하는,adjective,,acceptable,감사한다고,acceptable,감사한다고,unsure,no,unacceptable,감사한다고,no,no,no,no,no,no,,,,acceptable,감사한다,no,yes,1
1,noun-adj,35,20,감사하다,adjective,,acceptable,감사하다고,acceptable,감사하다고,yes,no,unacceptable,감사하다고,no,no,no,no,no,no,,,,acceptable,감사하다,no,yes,1
1,noun-adj,37,21,감상,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,38,21,감상적인,adjective,"Debate needed. I am not sure 감상적인 is an emotion. It is closer to personality, and it sometimes can be temporary mental state. Also, 나는 감상적이다 sounds introducing your own personal traits.",not sure,감상적이라고,not sure,감상적이라고,no,no,unacceptable,감상적이라고,no,no,no,no,no,no,,,,acceptable,감상적이다,yes,no,1
1,noun-adj,41,23,감탄,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,42,23,감탄하는,adjective,Many unacceptable words in H part become acceptable with past tense. I think we need debate on this.,unacceptable,감탄한다고,unacceptable,감탄한다고,yes,no,unacceptable,감탄한다고,no,no,no,no,no,no,,,,acceptable,감탄한다,no,yes,1
1,noun-adj,45,25,갑작스러움,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,46,25,갑작스럽다,adjective,"In Z part, 나는 갑작스럽다 have hidden meaning. 나는 (무엇이) 갑작스럽다. ",acceptable,갑작스럽다고,acceptable,갑작스럽다고,yes,no,unacceptable,갑작스럽다고,no,no,no,no,no,no,,,,acceptable,갑작스럽다,yes,yes,1
1,no-pair,47,26,강력한,adjective,나는 강력하다 = I am strong,acceptable,강력하다고,acceptable,강력하다고,no,no,unacceptable,강력하다고,no,no,no,yes,no,no,,,,acceptable,강력하다,no,no,1
1,noun-adj,48,27,강박,noun,,,,,,,,,,,,,,,,,,,,,,,
1,noun-adj,49,27,강박적인,adjective,나는 강박적이라고 느낀다 = I feel the situation is 강박적이다. 나는 강박적이다 = My personality is 강박적이다,acceptable,강박적이라고,acceptable,강박적이라고,yes,no,unacceptable,강박적이라고,no,no,no,no,no,no,,,,acceptable,강박적이다,yes,no,1
