Coder_ID,Pair_Type,Word_ID,Pair_ID,Korean_Word,POS,Note,They_Sentence,They_Q1,They_Q2,Bodily_Physical,Epistemic,Behavioral_Result,Additional_Meaning,Distinctiveness,Relatedness,I_Sentence,Causing,Caused,Meaning_label
1,noun-adj,19,13,갈등하다,verb,,그들이 갈등했다,yes,no,no,no,no,no,,,나는 갈등했다,no,yes,1
1,noun-adj,22,14,갈망하다,verb,,그들이 갈망했다,yes,no,no,no,no,no,,,나는 갈망했다,no,yes,1
1,noun-adj,24,16,감동하다,verb,,그들이 감동했다,yes,no,no,no,no,no,,,나는 감동했다,no,yes,1
1,noun-adj,32,19,감복하다,verb,,그들이 감복했다,yes,no,no,no,no,no,,,나는 감복했다,no,yes,1
1,noun-adj,36,20,감사하다,verb,,그들이 감사했다,yes,no,no,no,no,no,,,나는 감사했다,no,yes,1
1,verb,40,22,감정하다,verb,,그들이 감정했다,no,no,no,yes,no,no,,,나는 감정했다,no,no,1
1,noun-adj,43,23,감탄하다,verb,,그들이 감탄했다,yes,no,no,no,no,no,,,나는 감탄했다,no,yes,1
1,verb,50,28,개의치않다,verb,,그들은 개의치 않았다,yes,no,no,no,no,no,,,나는 개의치 않았다,no,no,1
1,verb,51,28,개의하다,verb,,그들이 개의했다,yes,no,no,no,no,no,,,나는 개의했다,no,yes,1
1,noun-adj,54,29,개탄하다,verb,,그들이 개탄했다,yes,no,no,no,no,no,,,나는 개탄했다,no,yes,1
1,noun-adj,67,37,거슬리다,verb,,그들은 거슬렸다,yes,no,no,no,no,yes,yes,yes,나는 거슬렸다,no,yes,1
1,noun-adj,67,37,거슬리다,verb,physically,그들은 거슬렸다,yes,no,yes,no,no,yes,yes,yes,나는 거슬렸다,no,yes,2
1,noun-adj,76,40,걱정하다,verb,,그들이 걱정했다,yes,no,no,no,no,no,,,나는 걱정했다,no,yes,1
2,noun-adj,78,41,겁나다,verb,,그들은 겁났다/겁난다,yes,no,no,no,no,no,,,나는 겁난다,no,yes,1
2,noun-adj,80,41,겁내다,verb,makes more sense with an object,그들은 겁낸다,yes,no,no,no,no,no,,,나는 겁낸다,no,yes,1
2,noun-adj,91,45,격분하다,verb,,그들은 격분한다,yes,no,no,no,no,no,,,나는 격분한다,no,yes,1
2,no-pair,101,49,격하다,verb,,그들은 격하다,no,yes,no,no,no,no,,,나는 격하다,yes,yes,1
2,noun-adj,110,56,경계하다,verb,,그들은 경계한다,yes,no,no,no,no,no,,,나는 경계한다,no,yes,1
